Authority	2000-01	2001-02	2002-03	2003-04	2004-05	2005-06	2006-07	2007-08	2008-09	2009-10	2010-11	% Increase
Kennet	108.81	116.9	128.04	143.14	149.88	157.44	166.58	176.38	183.89	-	-	#VALUE!
Kensington & Chelsea	483.56	546.94	597.77	680.84	712.7	737.65	738.47	739.45	758.08	782.45	782.61	61.84
Kent	652.83	694.19	758.07	852.84	845.73	877.05	918.72	964.17	1001.79	1026.27	1047.78	60.50
Kerrier	144.84	162.49	171.45	179.85	192.76	201.08	207.68	214.15	220.33	-	-	#VALUE!
Kettering	114.81	120.38	140.42	144.59	157.57	165.01	173.57	181.61	190.32	199.45	206.79	80.11
King's Lynn & West Norfolk	104.59	111.44	122.5	128.14	134.29	138.11	138.22	140.89	146.51	151.58	155.11	48.30
"Kingston upon Hull, City of"	733.84	806.55	842.84	922.91	902.45	943.06	986.25	1023.73	1062.63	1096.63	1096.63	49.44
Kingston upon Thames	740.59	796.16	886.06	997.72	1067.36	1120.72	1160.76	1218.63	1270.26	1320.96	1352.72	82.65
Kingswood	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Kirklees	826.07	859.93	900.63	961.29	990.23	1039.29	1091.32	1123.83	1157.91	1198.18	1222.09	47.94
Knowsley	888.76	918.4	941.69	963.31	988.33	1027.93	1069.31	1111.61	1155.91	1213.22	1273.37	43.27
Lambeth	516.18	590.12	636.12	770.6	809.12	841.34	841.34	883.35	925.29	925.29	925.29	79.26
Lancashire	768.35	795.18	856.58	937.62	927.11	950.29	996.85	1046.2	1077.06	1108.3	1108.3	44.24
Lancaster	109.44	115.91	133.58	141.96	154.81	162.35	169.86	176.66	184.77	197.22	204.42	86.79
Langbaurgh-on-Tees	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Leeds	720.98	756.64	794.2	857.44	896.71	934.88	977.36	1021.69	1070.18	1101.59	1129.53	56.67
Leicester	805.68	845.16	889.95	937.12	982.75	1007.32	1033.91	1061.21	1113.74	1163.65	1186.22	47.23
Leicestershire	672.09	712.01	775.38	847.5	866.99	890.4	930.47	970.02	1007.85	1037.07	1063	58.16
Leominster	-	-	-	-	-	-	-	-	-	-	-	#VALUE!
Lewes	148.15	155.65	172.82	189.12	202.8	213.62	224.69	235.35	246.34	255.59	264.26	78.37
Lewisham	658.43	725.89	783.5	857.15	899.96	944.1	967.7	991.89	1016.69	1042.11	1042.11	58.27
Lichfield	114.44	122.2	129.41	133.4	141.68	147.81	157.19	163.5	169.97	174.19	178.92	56.34
